Evoked Response
seconds	EEG
19.16	-4.68896
19.162	-4.6944
19.164	-4.69376
19.166	-4.69408
19.168	-4.69248
19.17	-4.69312
19.172	-4.69024
19.174	-4.6928
19.176	-4.69216
19.178	-4.69024
19.18	-4.6912
19.182	-4.69856
19.184	-4.69472
19.186	-4.696
19.188	-4.69856
19.189	-4.69696
19.191	-4.69152
19.193	-4.69024
19.195	-4.68992
19.197	-4.69312
19.199	-4.69472
19.201	-4.6944
19.203	-4.69056
19.205	-4.69568
19.207	-4.69888
19.209	-4.6944
19.211	-4.69376
19.213	-4.69472
19.215	-4.69504
19.217	-4.69696
19.219	-4.69344
19.221	-4.6944
19.223	-4.6976
19.225	-4.69792
19.227	-4.7008
19.229	-4.69824
19.23	-4.70176
19.232	-4.69696
19.234	-4.6944
19.236	-4.69216
19.238	-4.69504
19.24	-4.696
19.242	-4.696
19.244	-4.69472
19.246	-4.6928
19.248	-4.6896
19.25	-4.69568
19.252	-4.69376
19.254	-4.6928
19.256	-4.69088
19.258	-4.6912
19.26	-4.6912
19.262	-4.69632
19.264	-4.69728
19.266	-4.69504
19.268	-4.69792
19.27	-4.69568
19.271	-4.69248
19.273	-4.69216
19.275	-4.69024
19.277	-4.68768
19.279	-4.688
19.281	-4.69184
19.283	-4.69088
19.285	-4.69248
19.287	-4.69056
19.289	-4.69248
19.291	-4.69088
19.293	-4.68992
19.295	-4.68704
19.297	-4.68864
19.299	-4.69056
19.301	-4.69088
19.303	-4.69152
19.305	-4.6928
19.307	-4.68992
19.309	-4.69312
19.311	-4.69248
19.313	-4.68864
19.314	-4.68992
19.316	-4.68736
19.318	-4.6864
19.32	-4.68864
19.322	-4.69024
19.324	-4.69088
19.326	-4.6912
19.328	-4.6912
19.33	-4.68768
19.332	-4.68384
19.334	-4.68384
19.336	-4.6848
19.338	-4.688
19.34	-4.68608
19.342	-4.68448
19.344	-4.68416
19.346	-4.69056
19.348	-4.69248
19.35	-4.69216
19.352	-4.68928
19.354	-4.68832
19.355	-4.68864
19.357	-4.6896
19.359	-4.6896
19.361	-4.6928
19.363	-4.6944
19.365	-4.69312
19.367	-4.69664
19.369	-4.69536
19.371	-4.69376
19.373	-4.69568
19.375	-4.696
19.377	-4.69408
19.379	-4.6912
19.381	-4.69632
19.383	-4.69312
19.385	-4.69536
19.387	-4.69408
19.389	-4.69408
19.391	-4.69184
19.393	-4.6896
19.395	-4.69024
19.396	-4.68864
19.398	-4.68992
19.4	-4.68992
19.402	-4.69088
19.404	-4.69088
19.406	-4.69248
19.408	-4.69152
19.41	-4.6928
19.412	-4.68896
19.414	-4.68576
19.416	-4.6864
19.418	-4.6896
19.42	-4.68704
19.422	-4.68896
19.424	-4.68864
19.426	-4.6912
19.428	-4.68672
19.43	-4.68768
19.432	-4.68448
19.434	-4.68704
19.436	-4.68672
19.438	-4.688
19.439	-4.68896
19.441	-4.69312
19.443	-4.69024
19.445	-4.6912
19.447	-4.69632
19.449	-4.6896
19.451	-4.6896
19.453	-4.69024
19.455	-4.69248
19.457	-4.69152
19.459	-4.696
19.461	-4.6944
19.463	-4.69184
19.465	-4.69216
19.467	-4.69344
19.469	-4.69408
19.471	-4.69376
19.473	-4.69184
19.475	-4.6944
19.477	-4.69344
19.479	-4.69216
19.48	-4.69376
19.482	-4.69408
19.484	-4.69408
19.486	-4.69856
19.488	-4.69824
19.49	-4.69792
19.492	-4.69184
19.494	-4.6912
19.496	-4.69408
19.498	-4.69568
19.5	-4.69504
19.502	-4.69408
19.504	-4.69408
19.506	-4.69312
19.508	-4.69248
19.51	-4.6928
19.512	-4.69024
19.514	-4.69184
19.516	-4.69376
19.518	-4.69056
19.52	-4.69312
19.521	-4.6976
19.523	-4.69728
19.525	-4.69664
19.527	-4.69728
19.529	-4.69664
19.531	-4.69152
19.533	-4.69248
19.535	-4.69632
19.537	-4.69696
19.539	-4.69472
19.541	-4.69888
19.543	-4.7008
19.545	-4.70112
19.547	-4.70144
19.549	-4.69952
19.551	-4.69824
19.553	-4.69696
19.555	-4.69632
19.557	-4.696
19.559	-4.69696
19.561	-4.69664
